"DETECT_EQUIP_NO","POSITION_NO","BAR_CODE","LOAD_CURRENT","PF","AVE_ERR"
"2","23","3730001000000411578640","05","01","+0.0177"
"2","32","3730001000000411584375","05","01","-0.0188"
"5","26","3730001000000411565466","05","01","+0.0634"
"5","45","3730001000000411591298","05","01","-0.0144"
"5","48","3730001000000411563745","05","01","+0.0100"
"19","14","3730001000000411582043","05","01","+0.0066"
"19","21","3730001000000411580896","05","01","-0.0233"
"19","22","3730001000000411414238","05","01","-0.0222"
"19","27","3730001000000411586058","05","01","-0.0144"
"19","46","3730001000000411519209","05","01","-0.0188"
"19","47","3730001000000411579500","05","01","+0.0111"
"19","59","3730001000000411556341","05","01","-0.0078"
"19","60","3730001000000411587970","05","01","+0.0144"
"4","57","3730001000000411768164","05","01","+0.0233"
"11","33","3730001000000411859831","05","01","+0.0144"
"11","36","3730001000000411830571","05","01","+0.0333"
"11","38","3730001000000411831776","05","01","-0.0155"
"11","43","3730001000000411831844","05","01","+0.0122"
"11","46","3730001000000411832674","05","01","+0.0644"
"11","48","3730001000000411831905","05","01","0.0000"
"11","54","3730001000000411854935","05","01","-0.0011"
"11","59","3730001000000411841447","05","01","+0.0055"
"12","3","3730001000000411812775","05","01","-0.0222"
"12","5","3730001000000411776688","05","01","+0.0333"
"12","6","3730001000000411776107","05","01","-65.0470"
"12","12","3730001000000411755232","05","01","+0.0355"
"12","13","3730001000000411812874","05","01","+0.0611"
"1","6","3730001000000411770839","05","01","+0.0089"
"4","14","3730001000000411623821","05","01","-0.0277"
"4","17","3730001000000411636838","05","01","-0.0155"
"4","23","3730001000000411621414","05","01","-0.0011"
"4","38","3730001000000411623494","05","01","+0.0422"
"4","40","3730001000000411623456","05","01","-0.0422"
"4","48","3730001000000411623401","05","01","+0.0033"
"4","50","3730001000000411624378","05","01","+0.0111"
"4","57","3730001000000411625665","05","01","-0.0322"
"4","59","3730001000000411625153","05","01","-0.0200"
"5","2","3730001000000411609474","05","01","+0.0222"
"13","3","3730001000000411522902","05","01","+0.0089"
"13","30","3730001000000411642563","05","01","-0.0066"
"13","40","3730001000000411559519","05","01","+0.0600"
"13","42","3730001000000411642570","05","01","+0.0355"
"13","27","3730001000000411733698","05","01","-0.0200"
"13","40","3730001000000411773168","05","01","+0.0389"
"13","44","3730001000000411772956","05","01","+0.0122"
"1","56","3730001000000411557188","05","01","+0.0533"
"18","39","3730001000000411627423","05","01","+0.0133"
"18","40","3730001000000411628307","05","01","0.0000"
"18","47","3730001000000411627386","05","01","-0.0078"
"14","3","3730001000000411590956","05","01","-0.0011"
"14","8","3730001000000411591700","05","01","-0.0144"
"14","10","3730001000000411599263","05","01","+0.0377"
"14","11","3730001000000411598280","05","01","+0.1424"
"14","20","3730001000000411593421","05","01","+0.0400"
"12","16","3730001000000411730079","05","01","+0.0433"
"10","14","3730001000000411786953","05","01","+0.0378"
"10","19","3730001000000411827106","05","01","+0.0366"
"10","28","3730001000000411826642","05","01","+0.0300"
"10","36","3730001000000411788681","05","01","+0.0244"
"10","46","3730001000000411828455","05","01","+0.0011"
"16","4","3730001000000411849122","05","01","+0.0022"
"16","23","3730001000000411837389","05","01","-0.0133"
"16","27","3730001000000411786106","05","01","-0.0055"
"20","51","3730001000000411814212","05","01","-0.0045"
"20","53","3730001000000411814236","05","01","-0.0078"
"20","60","3730001000000411815882","05","01","+0.0067"
"20","23","3730001000000411795214","05","01","-0.0011"
"20","26","3730001000000411780050","05","01","+0.0189"
"20","33","3730001000000411791896","05","01","+0.0022"
"15","40","3730001000000411724955","05","01","+0.0266"
"15","41","3730001000000411724511","05","01","-0.0066"
"15","51","3730001000000411722623","05","01","+0.0311"
"15","58","3730001000000411823290","05","01","+0.0144"
"4","29","3730001000000411826710","05","01","-0.0255"
"4","43","3730001000000411787318","05","01","+0.0411"
